"FIPS","County","abbr","Total number of new cases in 10 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 10 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (last HHS Update)","Open Beds (Nowcast)","Average New Daily Cases","New Cases Yesterday","Percent Occupied (Nowcast)","Percent Occupied (last HHS update)","At Threshold?","Category","casethresholdpct"
"01001","Autauga, Alabama, US","AL",266.621092278719,26.6621092278719,22.4580901015228,2.24580901015228,89,21.7,15.2983502538071,21.7,58,82.8108424114527,75.6179775280899,"No","Unsustainable",81.3889096865425
"01003","Baldwin, Alabama, US","AL",772.50395480226,77.250395480226,65.069733502538,6.5069733502538,372.7,80.4,44.7697652284264,79.2,214,87.9877206255899,78.4276898309632,"Yes","Hit Circuit Breaker",102.523746975863
"01005","Barbour, Alabama, US","AL",164.887005649718,16.4887005649718,13.8888007614213,1.38888007614213,42.6,16.5,13.1307106598985,5.4,27,69.1767355401444,61.2676056338028,"No","Unsustainable",32.749700188453
"01007","Bibb, Alabama, US","AL",192.882109227872,19.2882109227872,16.2468908629442,1.62468908629442,30,18.1,14.3937817258883,7.5,20,52.0207275803723,39.6666666666667,"No","Unsustainable",38.883855169478
"01009","Blount, Alabama, US","AL",469.724670433145,46.9724670433145,39.5659581218274,3.95659581218274,42,28.7,28.5315355329949,16.9,32,32.0677725404883,31.6666666666667,"No","No Breaker",35.978523300503
"01011","Bullock, Alabama, US","AL",521.853107344633,52.1853107344633,43.9568527918782,4.39568527918782,64,48,43.2829949238579,7.2,32,32.3703204314721,25,"No","No Breaker",13.7969859691668
"01013","Butler, Alabama, US","AL",260.744256120527,26.0744256120527,21.9630710659898,2.19630710659898,29,22.3,19.2676395939086,6.7,23,33.5598634692806,23.1034482758621,"No","No Breaker",25.6956762909591
"01015","Calhoun, Alabama, US","AL",613.335969868173,61.3335969868173,51.6626586294416,5.16626586294416,281.7,53.6,40.4597715736041,31.7,109,85.637283786438,80.9726659566915,"No","Unsustainable",51.6845604323735
"01017","Chambers, Alabama, US","AL",107.640677966102,10.7640677966102,9.06681472081218,0.906681472081218,25,15.3,5.7817576142132,17.9,44,76.8729695431472,38.8,"Yes","Hit Circuit Breaker",166.294010203439
"01019","Cherokee, Alabama, US","AL",459.705084745763,45.9705084745763,38.7219860406091,3.87219860406091,46.1,35.1,35.1842322335025,5.2,7,23.6784550249403,23.8611713665944,"No","No Breaker",11.3115999203616
"01021","Chilton, Alabama, US","AL",363.985687382298,36.3985687382298,30.6593274111675,3.06593274111675,35,25.1,22.7414974619289,12,37,35.0242929659173,28.2857142857143,"No","Unsustainable",32.9683292942128
"01025","Clarke, Alabama, US","AL",482.498305084746,48.2498305084746,40.6419098984772,4.06419098984771,59,41.4,39.4626586294416,3.6,11,33.1141379162006,29.8305084745763,"No","No Breaker",7.46116610579119
"01027","Clay, Alabama, US","AL",340.724670433145,34.0724670433145,28.7,2.87,39,28.7,26.8468908629442,5.4,8,31.1618183001432,26.4102564102564,"No","No Breaker",15.8485735510002
"01031","Coffee, Alabama, US","AL",263.739359698682,26.3739359698682,22.2153553299492,2.22153553299492,60,23.9,17.329885786802,16.1,32,71.1168570219966,60.1666666666667,"No","Unsustainable",61.0451167334068
"01033","Colbert, Alabama, US","AL",1501.97288135593,150.197288135593,126.514530456853,12.6514530456853,283,131.4,120.955203045685,21.8,58,57.2596455668957,53.5689045936396,"No","No Breaker",14.5142434131831
