"FIPS","County","abbr","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (last HHS Update)","Open Beds (Nowcast)","Average New Daily Cases","New Cases Yesterday","Percent Occupied (Nowcast)","Percent Occupied (last HHS update)","At Threshold?","Category","casethresholdpct"
"01001","Autauga, Alabama, US","AL",304.655591878749,43.5222274112498,13.8446518069448,1.97780740099212,89,25.7,7.66431999641344,110.142857142857,151,91.3884044984119,71.123595505618,"Yes","Forecasted to Exceed Capacity",253.072656649891
"01003","Baldwin, Alabama, US","AL",2580.06038725352,368.580055321932,117.247274150256,16.7496105928937,375,133.2,93.843811779494,354.285714285714,536,74.9749835254682,64.48,"No","Unsustainable",96.1217811897792
"01005","Barbour, Alabama, US","AL",305.151772895546,43.5931104136494,13.8672000666646,1.98102858095209,42.6,18.6,12.7311096603169,41.4285714285714,49,70.1147660555941,56.3380281690141,"No","Unsustainable",95.0346764327232
"01007","Bibb, Alabama, US","AL",407.473000893814,58.2104286991163,18.5170466864465,2.64529238377807,30,20.7,16.4266403387667,40.2857142857143,85,45.2445322041109,31,"No","Unsustainable",69.2070393330154
"01009","Blount, Alabama, US","AL",629.349050741086,89.9070072487266,28.5998967516387,4.08569953594839,42.6,30.2,23.7828734287245,62,103,44.1716586180175,29.1079812206573,"No","Unsustainable",68.9601421482953
"01011","Bullock, Alabama, US","AL",1245.60560743407,177.943658204868,56.604823227949,8.08640331827843,64,52.7,54.9234094265544,18.5714285714286,23,14.1821727710087,17.65625,"No","Has Capacity",10.4366903315246
"01013","Butler, Alabama, US","AL",570.837751155401,81.5482501650573,25.9409317067494,3.70584738667849,37,29.3,24.0777434403392,40.4285714285714,58,34.9250177288129,20.8108108108108,"No","Has Capacity",49.5762586526899
"01015","Calhoun, Alabama, US","AL",957.845977590456,136.835139655779,43.5279850359693,6.21828357656704,272.6,54,35.0754724127425,156.571428571429,225,87.1329888434547,80.1907556859868,"Yes","Forecasted to Exceed Capacity",114.423406856819
"01017","Chambers, Alabama, US","AL",264.09269289289,37.7275275561271,12.0013269912855,1.71447528446935,25,11.9,6.5935366570705,74,86,73.625853371718,52.4,"Yes","Forecasted to Exceed Capacity",196.143253463695
"01019","Cherokee, Alabama, US","AL",720.94926110834,102.992751586906,32.7625415603453,4.68036308004933,46.1,32,30.990240526443,23.5714285714286,39,32.7760509187788,30.58568329718,"No","Has Capacity",22.8864926980215
"01021","Chilton, Alabama, US","AL",503.831067084329,71.9758667263327,22.8959056693768,3.27084366705383,35,25.6,19.5330780665877,50.5714285714286,87,44.1912055240352,26.8571428571429,"No","Unsustainable",70.261645842643
"01025","Clarke, Alabama, US","AL",700.987558647965,100.141079806852,31.8554096139614,4.55077280199448,59,38.9,30.7193192076137,39.1428571428571,79,47.933357275231,34.0677966101695,"No","Has Capacity",39.0877122738782
"01027","Clay, Alabama, US","AL",542.218905837883,77.4598436911262,24.6403878825102,3.52005541178717,39.1,25.4,22.8226432323539,25.1428571428571,33,41.6300684594529,35.0383631713555,"No","Has Capacity",32.4592149231738
"01031","Coffee, Alabama, US","AL",459.08138869822,65.5830555283171,20.8623184573127,2.98033120818753,60,23.3,15.6363025881134,71.8571428571429,123,73.9394956864777,61.1666666666667,"Yes","Forecasted to Exceed Capacity",109.566628572401
"01033","Colbert, Alabama, US","AL",2601.64209463015,371.663156375736,118.228024978384,16.8897178540548,285.1,124.4,111.456926156552,103.428571428571,166,60.9060237963691,56.3661873027008,"No","Has Capacity",27.8285780159521
"01035","Conecuh, Alabama, US","AL",288.487165567369,41.2124522239098,13.1099000462209,1.87284286374584,29.1,18.2,12.564576651174,24.4285714285714,39,56.8227606488866,37.4570446735395,"No","Has Capacity",59.2747339950786
"01039","Covington, Alabama, US","AL",969.49132748102,138.498761068717,44.0571918475385,6.29388454964836,96.6,48.8,42.9211014411908,33.7142857142857,61,55.5682179697817,49.4824016563147,"No","Has Capacity",24.3426623127395
"01041","Crenshaw, Alabama, US","AL",326.957729021298,46.7082470030426,14.8581415688929,2.12259165269898,32,18,13.7674947787991,29.5714285714286,34,56.9765788162528,43.75,"No","Has Capacity",63.3109364380604
"01043","Cullman, Alabama, US","AL",792.617152557959,113.231021793994,36.0193897171085,5.14562710244407,161,40.6,26.3853430712802,122.142857142857,182,83.6115881544844,74.7826086956522,"Yes","Forecasted to Exceed Capacity",107.870489206639
"01045","Dale, Alabama, US","AL",443.924116734622,63.4177309620888,20.1735172067429,2.88193102953469,48,24.1,15.674599197606,68.5714285714286,115,67.3445850049874,49.7916666666667,"Yes","Forecasted to Exceed Capacity",108.126587834593
"01047","Dallas, Alabama, US","AL",1138.32815875979,162.618308394255,51.7297480176965,7.38996400252808,107,60.6,48.7304693449387,65.7142857142857,93,54.457505285104,43.3644859813084,"No","Has Capacity",40.4101397703428
