"state","Total number of new cases in 10 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 10 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds","Average New Daily Cases","New Cases Yesterday (State)","Percent Occupied","At Threshold?","Category"
"AK",9912.66666666667,991.266666666667,531,53.1,1581,464,241,940,70.651486401012,"No","No Breaker"
"AL",55683.8296529968,5568.38296529968,4684,468.4,15186,3668,3048.1,6893,75.8461741077308,"No","Unsustainable"
"AR",27729.0376569038,2772.90376569038,3276,327.6,9254,2440,1390.3,3743,73.6330235573806,"No","Unsustainable"
"AZ",60527.7974322397,6052.77974322397,5774,577.4,16590,3045,3127.4,3411,81.6455696202532,"No","No Breaker"
"CA",274261.746121645,27426.1746121645,20249,2024.9,64312,13845,19314.2,20748,78.4721358377908,"No","No Breaker"
"CO",58220.5893877551,5822.05893877551,5812,581.2,11795,3642,4365.1,7345,69.1225095379398,"No","Unsustainable"
"CT",52814.5374233129,5281.45374233129,2791,279.1,7763,1433,4691.8,7520,81.540641504573,"No","Unsustainable"
"DC",21683.3036144578,2168.33036144578,1578,157.8,3446,941,2082.6,1412,72.6929773650609,"No","No Breaker"
"DE",17872.3529411765,1787.23529411765,1261,126.1,3228,796,928.8,1085,75.3407682775712,"No","No Breaker"
"FL",345788.333400769,34578.8333400769,20641,2064.1,57567,13118,31878.3,58013,77.2126391856445,"No","Unsustainable"
"GA",56810.2995077622,5681.02995077622,7486,748.6,22388,3414,10034.7,19124,84.7507593353582,"Yes","Hit Circuit Breaker"
"HI",27488.2344827586,2748.82344827586,907,90.7,2581,691,1325,1554,73.2274312282061,"No","No Breaker"
"IA",36451.1116928447,3645.11116928447,3238,323.8,7525,2087,1847.2,2469,72.265780730897,"No","No Breaker"
"ID",15920.0593220339,1592.00593220339,1126,112.6,3095,879,449.1,723,71.5993537964459,"No","No Breaker"
"IL",232145.184022039,23214.5184022039,14260,1426,29771,7768,17510.6,21098,73.9074938698734,"No","No Breaker"
"IN",69545.6404432133,6954.56404432133,6726,672.6,16434,3133,5336.5,7914,80.9358646708044,"No","Unsustainable"
"KS",52736.3497536946,5273.63497536946,4078,407.8,8323,2928,2175.5,7083,64.8203772678121,"No","Unsustainable"
"KY",42689.8240740741,4268.98240740741,4376,437.6,11749,2330,2580.5,5513,80.1685249808494,"No","Unsustainable"
"LA",45055.1468860164,4505.51468860164,4775,477.5,12528,3486,3556,9378,72.1743295019157,"No","Unsustainable"
