"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (HHS Data)","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied (State Nowcast)","Percent Occupied (State HHS Data)","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2021-11-02,"AK",14712.1964193326,2101.74234561894,404.354554604968,57.7649363721384,632,368,262.354554604968,128,29,632.428571428571,1522,2271.22394366197,30.0906803703538,58.4882033852898,74.0845070422535,77.34375,"No","No","Has Capacity","Has Capacity",
2021-11-02,"AL",100737.863967386,14391.1234239123,2971.12521910609,424.446459872298,12078.5,3597,2621.12521910609,1572,221,1722.28571428571,935,7522.82897959184,11.9676946931326,78.2992489207593,76.1139517896275,85.941475826972,"No","No","Has Capacity","Has Capacity",
2021-11-02,"AR",20946.5943525072,2992.37062178674,2074.98729885592,296.426756979417,6114.2,2228,1756.98729885592,946,192,420.857142857143,137,1862.74354716981,14.0643388152852,71.263823576986,72.8193241429791,79.7040169133192,"No","No","Has Capacity","Has Capacity",
2021-11-02,"AZ",30824.620856667,4403.51726523815,3205.0995653676,457.871366481086,10519.2,4015,1736.0995653676,2193,794,3001.14285714286,2090,11334.0993086713,68.1533119180482,83.4958973556202,74.8512370811149,63.7938896488828,"No","No","Has Capacity","Has Capacity",
2021-11-02,"CA",145816.504550224,20830.9292214606,10633.1231014282,1519.01758591831,48169.4,13682,7637.12310142816,7061,1732,9165.71428571429,19351,38008.3915612351,44.0005061141079,84.1452808184695,78.1066982430313,75.4708964735873,"No","No","Has Capacity","Has Capacity",
2021-11-02,"CO",39060.2093424144,5580.0299060592,3177.44410456026,453.920586365752,6957.5,2948,1804.44410456026,1348,213,2930,1859,4533.28557036962,52.5086791527479,74.0647631396297,73.5936940164815,84.1988130563798,"No","No","Has Capacity","Has Capacity",
2021-11-02,"CT",18081.7568769813,2583.10812528305,1354.09480666479,193.442115237828,6060,1521,1167.09480666479,1025,416,327.142857142857,832,7395.76852559206,12.6646985443945,80.74100979101,80.6808078242093,59.4146341463415,"No","No","Has Capacity","Has Capacity",
2021-11-02,"DC",6537.91578947368,933.987969924812,430.308013937282,61.4725734196117,1787.7,809,392.308013937282,328,77,84.4285714285714,230,1053.22133458647,9.03957804032188,78.0551538883883,76.7662263067203,76.5243902439024,"No","No","Has Capacity","Has Capacity",
2021-11-02,"DE",12914.059853102,1844.86569330029,820.025503984998,117.146500569285,2753,582,688.025503984998,195,30,254,191,1200.29846938776,13.7679399060003,75.0081545955322,79.9448656099242,84.6153846153846,"No","No","Has Capacity","Has Capacity",
2021-11-02,"FL",100614.736306514,14373.5337580735,11432.2333693014,1633.17619561448,40931.3,12550,9892.23336930139,6410,1668,1757.71428571429,2146,18258.4444343576,12.2288249730307,75.8321055786125,77.4244032307388,73.9781591263651,"No","No","Has Capacity","Has Capacity",
